asin,brand,color,medium_image_url,product_type_name,title,formatted_price
B004GSI2OS,FeatherLite,Onyx Black/ Stone,https://images-na.ssl-images-amazon.com/images/I/31VspXbakvL._SL160_.jpg,SHIRT,featherlite ladies long sleeve stain resistant tapered twill shirt 2xl onyx black stone ,$26.26
B012YX2ZPI,HX-Kingdom Fashion T-shirts,White,https://images-na.ssl-images-amazon.com/images/I/41EpudaOiWL._SL160_.jpg,SHIRT,womens unique 100 cotton  special olympics world games 2015 white size l ,$9.99
B003BSRPB0,FeatherLite,White,https://images-na.ssl-images-amazon.com/images/I/41dCf%2BplpCL._SL160_.jpg,SHIRT,featherlite ladies moisture free mesh sport shirt white  xxxlarge ,$20.54
B014ICEJ1Q,FNC7C,Purple,https://images-na.ssl-images-amazon.com/images/I/41Cn7jZ3O9L._SL160_.jpg,SHIRT,supernatural chibis sam dean castiel neck tshirts female purple l ,$7.39
B01NACPBG2,Fifth Degree,Black,https://images-na.ssl-images-amazon.com/images/I/51CrsFle7%2BL._SL160_.jpg,SHIRT,fifth degree womens gold foil graphic tees junior top short sleeve printed shirt  l ,$6.95
B011YPK0MW,Feel The Piece,Navy,https://images-na.ssl-images-amazon.com/images/I/41jZnuCA6OL._SL160_.jpg,SHIRT,feel piece sami dip dye top one size navy ,$72.40
B0079QXJ3S,FineBrandShop,Fuchsia,https://images-na.ssl-images-amazon.com/images/I/41eaHHtU%2ByL._SL160_.jpg,SHIRT,ladies fuchsia pink seamless stone set tube top ,$7.50
B00R7DO9ZA,Finejo,white,https://images-na.ssl-images-amazon.com/images/I/410Sa3EZiLL._SL160_.jpg,SHIRT,finejo ladies sleeveless shirt lace shirts high low tops long blouses l ,$11.99
B00BXOQ3X0,FeatherLite,Coffee Bean,https://images-na.ssl-images-amazon.com/images/I/31C%2BTk14fsL._SL160_.jpg,SHIRT,featherlite ladies silky smooth pique coffee bean ,$12.91
B011JQWCCM,Ferrari,Red,https://images-na.ssl-images-amazon.com/images/I/41FPzxL7E%2BL._SL160_.jpg,SHIRT,puma womens ferrari big shield tee rosso corsa tshirt xl ,$34.99
B01NAZ3L3C,Fifth Degree,Black,https://images-na.ssl-images-amazon.com/images/I/51pHilbcTiL._SL160_.jpg,SHIRT,vein womens angels diamonds 34 sequin sleeve cross rhinestone printed top shirt  l ,$21.00
B01I5GRO18,FIFTEEN TWENTY,Eggshell,https://images-na.ssl-images-amazon.com/images/I/41vC2nl3SpL._SL160_.jpg,SHIRT,fifteentwenty womens shirred hem ruffle blouse eggshell medium ,$65.00
B015K88D78,Fire-Dog-Custom Tees,Pink,https://images-na.ssl-images-amazon.com/images/I/41iTs%2BRYtuL._SL160_.jpg,SHIRT,womens west ham united fc logo short sleeve tees size pink ,$9.75
B07453B7L3,Fever,Coral,https://images-na.ssl-images-amazon.com/images/I/41rMpkK0SCL._SL160_.jpg,SHIRT,fever womens double layer sleeveless blouse small deep sea coral  ,$19.86
B003BSPZ5I,FeatherLite,Green,https://images-na.ssl-images-amazon.com/images/I/41-qQ6WiqyL._SL160_.jpg,SHIRT,featherlite ladies pique sport shirt forest green  xxlarge ,$16.70
B01MS8J0HE,Feel The Piece,Pine Green,https://images-na.ssl-images-amazon.com/images/I/31V54GMicwL._SL160_.jpg,SHIRT,feel piece womens super soft turtleneck curved hem top pine green 260943 ,$45.99
B073WKCX36,Fjallraven,Lily,https://images-na.ssl-images-amazon.com/images/I/41MIE0khzIL._SL160_.jpg,SHIRT,fjallraven  womens alphabotanical tshirt lily ,$33.44
B014ICD9YO,FNC7C,DeepHeather,https://images-na.ssl-images-amazon.com/images/I/51AMaLNyicL._SL160_.jpg,SHIRT,supernatural chibis sam dean castiel organic cotton shirts womens deepheather ,$7.99
B01MAWUZB7,Fifth Degree,Rust,https://images-na.ssl-images-amazon.com/images/I/41xqsj5DVpL._SL160_.jpg,SHIRT,american made womens plus size long sleeve cowel neck loose top shirt sparkle detail  6x ,$19.99
B014SSOEM4,Fire-Dog-Custom Tees,Skyblue,https://images-na.ssl-images-amazon.com/images/I/41KmRk-6AFL._SL160_.jpg,SHIRT,womens alice wonderland mad 100 cotton tshirt size xl skyblue ,$7.99
